MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
86,2015-01-12,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Delbonis F.,Mannarino A.,59.0,44.0,775.0,898.0,3.75,1.25,3.9,1.29,4.0,1.32,3.62,1.27,0
87,2015-01-12,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Struff J.L.,Thiem D.,58.0,39.0,781.0,977.0,2.2,1.61,2.3,1.68,2.4,1.68,2.26,1.61,1
88,2015-01-12,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Bolelli S.,Matosevic M.,52.0,77.0,810.0,657.0,2.62,1.44,2.59,1.56,2.7,1.61,2.41,1.54,1
89,2015-01-12,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Almagro N.,Cuevas P.,70.0,29.0,700.0,1222.0,1.72,2.0,1.83,2.07,1.92,2.23,1.81,1.95,0
90,2015-01-12,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Mayer L.,Becker B.,28.0,40.0,1299.0,973.0,1.53,2.37,1.6,2.48,1.71,2.5,1.56,2.37,1
91,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,2nd Round,3.0,Struff J.L.,Anderson K.,58.0,16.0,781.0,2080.0,2.75,1.4,2.8,1.5,3.0,1.51,2.74,1.43,0
92,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Carreno-Busta P.,Coric B.,49.0,95.0,841.0,557.0,3.0,1.36,2.76,1.5,3.0,1.5,2.71,1.44,1
93,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,2nd Round,3.0,Falla A.,De Schepper K.,113.0,100.0,496.0,540.0,2.1,1.66,2.23,1.74,2.25,1.76,2.11,1.69,1
94,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,2nd Round,3.0,Johnson S.,Carreno-Busta P.,37.0,49.0,999.0,841.0,1.44,2.62,1.58,2.54,1.58,3.05,1.47,2.62,1
95,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Monaco J.,Lu Y.H.,61.0,38.0,770.0,993.0,1.8,1.9,1.84,2.06,1.95,2.06,1.83,1.93,0
96,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Ramos-Vinolas A.,Lorenzi P.,62.0,63.0,761.0,759.0,2.1,1.66,2.05,1.85,2.25,1.85,2.1,1.7,1
97,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Schwartzman D.,Garcia-Lopez G.,60.0,36.0,775.0,1020.0,4.0,1.22,3.78,1.31,4.05,1.35,3.62,1.27,1
98,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Venus M.,Gonzalez A.,405.0,109.0,101.0,507.0,3.25,1.33,3.05,1.43,3.5,1.43,3.12,1.35,1
99,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Bellucci T.,Vesely J.,64.0,65.0,753.0,741.0,2.2,1.61,2.3,1.69,2.35,1.69,2.21,1.63,0
100,2015-01-13,2015,4,Auckland,Heineken Open,ATP250,Outdoor,Hard,1st Round,3.0,Soeda G.,Young D.,92.0,54.0,559.0,796.0,2.62,1.44,2.66,1.53,2.68,1.53,2.55,1.49,0
101,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Nieminen J.,Andujar P.,73.0,41.0,689.0,950.0,1.4,2.75,1.47,2.89,1.5,2.9,1.44,2.71,0
102,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Querrey S.,31.0,35.0,1195.0,1090.0,1.72,2.0,1.95,1.93,1.95,2.09,1.81,1.95,1
103,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Stakhovsky S.,Del Potro J.M.,57.0,135.0,781.0,385.0,1.83,1.83,2.04,1.85,2.05,1.96,1.92,1.84,0
104,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Kyrgios N.,Janowicz J.,50.0,43.0,830.0,915.0,1.53,2.37,1.56,2.59,1.57,2.58,1.53,2.43,0
105,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Istomin D.,Kukushkin M.,48.0,69.0,850.0,705.0,2.2,1.61,2.36,1.65,2.5,1.7,2.29,1.6,0
106,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Muller G.,Groth S.,46.0,85.0,855.0,586.0,2.1,1.66,2.23,1.73,2.25,1.78,2.12,1.69,1
107,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Pospisil V.,Seppi A.,56.0,45.0,785.0,870.0,1.53,2.37,1.59,2.5,1.62,2.5,1.56,2.36,1
108,2015-01-13,2015,5,Sydney,Apia International,ATP250,Outdoor,Hard,1st Round,3.0,Tomic B.,Sijsling I.,53.0,81.0,797.0,619.0,1.28,3.5,1.38,3.34,1.38,4.5,1.25,3.84,1
